gene,count
CCNL2,1
MIB2,1
SLC35E2B,1
ENO1,2
H6PD,1
PIK3CD,1
CLSTN1,2
SRM,1
MAD2L2,1
MTHFR,1
TNFRSF1B,4
EFHD2,3
SPEN,1
FBXO42,1
HNRNPR,2
RUNX3,1
SYF2,1
SH3BGRL3,3
CD52,1
WASF2,1
FGR,1
RPA2,2
EYA3,1
TRNAU1AP,1
PTP4A2,6
KHDRBS1,1
KPNA6,2
CCDC28B,1
LCK,2
MARCKSL1,1
BSDC1,1
SFPQ,1
C1orf216,1
AGO3,1
LSM10,1
AKIRIN1,1
PPT1,1
ST3GAL3,1
PRDX1,1
GPBP1L1,2
EPS15,1
OSBPL9,1
SCP2,1
TMEM59,4
OMA1,1
JUN,16
TM2D1,1
ITGB3BP,2
JAK1,2
MIER1,1
FUBP1,1
PRKACB,1
BCL10,1
LMO4,2
GBP3,1
LRRC8C,2
LRRC8D,1
TMED5,1
DR1,1
ARHGAP29,1
SLC35A3,1
VAV3,1
EEIG2,1
PRPF38B,1
TMEM167B,1
CYB561D1,1
CD53,2
DENND2D,1
RAP1A,1
RHOC,1
LRIG2,2
RSBN1,2
CD2,3
GDAP2,1
LINC00623,1
POLR3GL,1
NBPF9,1
OTUD7B,1
ANP32E,2
MCL1,1
CTSS,3
S100A11,1
S100A6,8
S100A4,9
ILF2,1
SLC27A3,1
GATAD2B,1
CRTC2,1
TPM3,2
HAX1,2
KRTCAP2,1
GON4L,1
SYT11,1
ISG20L2,1
SH2D2A,1
PYHIN1,3
IFI16,1
DUSP23,1
TAGLN2,4
COPA,1
CD84,2
CD48,4
B4GALT3,1
FCGR3A,5
UHMK1,2
HSD17B7,4
MGST3,1
TMCO1,1
CD247,1
MPC2,1
SFT2D2,1
XCL2,19
PRRC2C,2
PRDX6,2
RABGAP1L,3
TOR1AIP2,1
QSOX1,1
MR1,1
IVNS1ABP,1
TPR,1
RGS2,1
PTPRC,3
ZNF281,1
ARL8A,2
PTPN7,1
BTG2,1
SNRPE,2
RBBP5,1
SLC41A1,1
RASSF5,1
CD55,1
TRAF5,1
NENF,1
MIA3,1
FBXO28,1
WDR26,1
LBR,1
PARP1,1
ZNF678,1
SNAP47,1
EXOC8,2
SPRTN,1
TSNAX,1
TARBP1,1
ARID4B,1
LYST,1
LGALS8,2
HNRNPU,6
ZNF124,1
ID2,2
IAH1,1
CYRIA,1
PUM2,1
WDR43,1
YPEL5,3
BIRC6,2
CEBPZ,2
THUMPD2,1
ZFP36L2,4
THADA,1
PPM1B,1
RTN4,7
PNPT1,1
REL,1
C2orf74,1
USP34,2
CCT4,1
WDPCP,1
ACTR2,1
PLEK,3
AAK1,1
ANXA4,2
C2orf42,1
ZNF638,3
MOB1A,2
VAMP8,3
GNLY,13
PTCD3,1
CD8A,6
CD8B,3
ANKRD36C,1
DUSP2,1
ANKRD36,1
MITD1,1
EIF5B,3
MAP4K4,1
LIMS1,1
TTL,1
RABL2A,1
ACTR3,2
INSIG2,1
PTPN4,1
CLASP1,1
GYPC,1
ERCC3,1
PTPN18,1
SPOPL,1
ZEB2,5
ARL6IP6,1
MARCHF7,1
RBMS1,1
TANK,1
SSB,3
UBR3,1
HAT1,1
GPR155,1
WIPF1,3
NFE2L2,1
ITGA4,1
ASNSD1,1
STAT4,1
STK17B,2
ANKRD44,1
COQ10B,1
HSPD1,1
SPATS2L,1
BZW1,5
CLK1,1
ORC2,1
CFLAR,1
CYP20A1,1
EEF1B2,7
METTL21A,1
CNPPD1,2
TUBA4A,2
KCNE4,1
SP100,1
NCL,4
ARL4C,7
LRRFIP1,4
RNPEPL1,1
HDLBP,2
ATG4B,1
ING5,1
CRBN,1
SETD5,1
MTMR14,1
HACL1,1
DPH3,2
TOP2B,1
NGLY1,2
SLC4A7,1
CMC1,1
PDCD6IP,1
CSRNP1,2
EIF1B,1
NKTR,3
LIMD1,1
MAP4,1
UQCRC1,1
IP6K2,1
GNAI2,3
RASSF1,4
CYB561D2,1
CISH,2
TKT,2
DCP1A,2
EOGT,1
TMF1,2
ARL6IP5,2
FOXP1,4
RYBP,1
VGLL3,1
CHMP2B,1
CGGBP1,2
ARL13B,1
CLDND1,2
PCNP,1
CD47,3
CD96,1
PHLDB2,1
ZBTB20,2
POGLUT1,1
COX17,1
GSK3B,1
HCLS1,2
DTX3L,1
PARP15,1
RPN1,1
NPHP3,1
DBR1,1
ARMC8,1
ATP1B3,1
GK5,2
PLSCR1,1
CPB1,1
SERP1,1
SIAH2,2
MBNL1,3
ARHGEF26,1
SSR3,1
CCNL1,2
PDCD10,1
MYNN,1
TTC14,3
FXR1,1
DCUN1D1,1
OPA1,1
PAK2,1
TMEM175,1
MXD4,1
RNF4,1
ADD1,2
LYAR,3
TADA2B,1
WDR1,2
BOD1L1,1
TAPT1,1
DCAF16,1
KLHL5,1
RFC1,1
RHOH,4
TMEM165,1
REST,1
YTHDC1,1
RCHY1,1
G3BP2,1
MRPL1,4
HNRNPD,4
HNRNPDL,2
SEC31A,4
PLAC8,2
HERC3,1
GPRIN3,3
EIF4E,2
PPP3CA,1
OSTC,1
METTL14,1
C4orf3,2
MFSD8,1
SETD7,1
OTUD4,1
LRBA,2
FBXW7,1
ETFDH,1
HMGB2,3
SPCS3,2
IRF2,1
CLPTM1L,1
NDUFS6,2
CMBL,1
MARCHF6,1
C5orf22,2
GOLPH3,1
NPR3,1
DNAJC21,3
EMB,1
GZMA,3
KIF2A,1
HEXB,1
IQGAP2,1
F2R,1
XRCC4,1
ERAP1,1
LNPEP,1
PJA2,1
YTHDC2,1
TNFAIP8,1
SRFBP1,1
SNX2,1
CDC42SE2,1
ACSL6,1
IRF1,1
UQCRQ,1
AFF4,1
DDX46,1
HNRNPA0,1
FAM13B,1
CXXC5,1
PURA,1
ANKHD1,1
DIAPH1,4
NDFIP1,2
RBM27,1
JAKMIP2,1
CD74,2
RBM22,1
ANXA6,1
FAM114A2,1
RNF145,1
PANK3,1
LCP2,3
KCNMB1,1
NPM1,2
DUSP1,6
CREBRF,1
CLTB,2
GRK6,1
PRR7,1
PDLIM7,1
TMED9,1
HNRNPAB,5
ZNF354A,1
CANX,1
SQSTM1,1
RNF130,1
TRIM41,1
TRIM52,1
SERPINB6,2
PRP4K,1
ATXN1,2
E2F3,1
C6orf62,1
BTN3A2,1
HLA-A,12
HCG18,1
HLA-E,5
PPP1R18,2
HLA-C,7
HLA-B,23
LTB,3
NCR3,1
DDAH2,1
HSPA1A,1
GPSM3,2
HLA-DRA,1
HLA-DRB1,4
PSMB8,1
PSMB9,2
TAP1,1
HLA-DMA,1
HLA-DPA1,2
HLA-DPB1,2
ZBTB22,1
DAXX,3
DEF6,1
PIM1,2
BTBD9,1
CCND3,3
CNPY3,1
PTK7,2
HSP90AB1,3
SUPT3H,1
ELOVL5,1
PTP4A1,3
PHF3,2
HMGN3,1
PNRC1,2
LYRM2,1
NDUFAF4,1
PNISR,1
ATG5,1
FOXO3,1
CD164,2
ZBTB24,1
AK9,1
CDC40,1
CDK19,1
TRAF3IP2-AS1,1
FYN,4
FAM229B,1
TSPYL1,1
NCOA7,2
CENPW,1
SAMD3,2
AKAP7,1
ABRACL,2
CITED2,1
PHACTR2,1
STXBP5,2
TMEM181,1
EZR,3
WTAP,1
CEP43,1
CHST12,3
LFNG,1
BRAT1,1
FOXK1,1
ACTB,59
USP42,2
KLHL7,1
CYCS,1
CBX3,1
SNX10,2
TAX1BP1,2
CREB5,1
AVL9,1
AOAH,2
STK17A,1
TMED4,3
PPIA,5
UPP1,1
SEC61G,3
ERV3-1,1
RABGEF1,1
BAZ1B,1
LAT2,1
RSBN1L,1
TMEM243,1
ANKIB1,1
FAM133B,1
SAMD9,1
BET1,1
BRI3,4
ARPC1B,2
ZNF655,2
ZKSCAN1,1
STAG3,1
POLR2J3,2
KMT2E-AS1,1
SYPL1,1
MDFIC,1
TES,2
IMPDH1,1
TMEM209,1
ZC3HAV1,1
UBN2,1
BRAF,1
GSTK1,2
CASP2,1
ZYX,1
GIMAP7,2
GIMAP4,2
GIMAP1,1
KMT2C,1
DNAJB6,2
ESYT2,1
PLCXD1,1
CD99,2
TMSB4X,54
CA5B,1
SYAP1,1
CDKL5,1
EIF1AX,1
SMS,1
ACOT9,1
SAT1,1
EIF2S3,1
ZFX,1
DYNLT3,1
CXorf38,1
MED14,1
USP9X,1
DDX3X,4
WAS,2
